instruction,output,url
연구책임자가 6개월 이상 국내외 파견 등의 사유로 부재하는 경우 후속조치는?,「국가연구개발혁신법」 제11조제2항에 따라 연구책임자의 변경은 중요한협약 변경의 사항으로 중앙행정기관(전문기관)과 상호협의(실무 상 승인)를 거쳐 협약을 변경하여야 하는 사항입니다.,
"원 소속기관 A와 근로계약을 근로자가, 기관 B가 주관하는 과제에서 급여를 100% 지급받는 것이 가능한가요?","1. 「국가연구개발사업 연구개발비 사용 기준」 제48조(대학 인건비 사용기준) 제3항 제2호 가목에 따라 「근로기준법」 및 참여연구자의 소속·기관 단체(A기관)의 인사규정, 취업규정 등 자체규정에 따른 인건비의 100% 현금 계상·지급이 가능합니다. 
2. 다만, 원 소속기관으로부터 인건비를 지급받고 있는 연구자가 공무원, ?고등교육법? 제14조제2항에 따른 교원(동법 제14조의2에 따른 강사 중 직장가입자가 아닌 자 및 동법 제17조에 따른 겸임교원 및 초빙교원 등은 제외), 영리기관 소속 임직원(중소·중견기업의 신규인력 제외)인 경우에는 연구개발비에서 인건비를 현금으로 계상할 수 없습니다.",
원 소속 대학에서 국가연구개발비에서 인건비를 지원 받고 있는 박사 후 연구원이 타기관에서 수행하고 있는 과제에 참여 하는 경우 미지급 인건비 계상률을 0%로 하여 참여가 가능한지요?,"미지급 인건비 정의에 따라 원소속기관에서 국가연구개발비가 아닌 재원으로 인건비를 지급받는 경우에는 해당과제 미지급인건비 0%로 참여가능합니다. 다만, 국가연구개발사업의 재원으로 인건비를 지급받고 있다면 미지급인건비로는 계상이 불가하고 인건비계상률 0%로 계상하시기 바랍니다.",
"2개 이상의 기관 또는 기업에서 겸직하는 인력의 인건비 재원 및 계상률 산출 시, 각 소속별로 따로 산출하여 관리하면 되는 것인지 모든 소속의 합으로 계산하여 산출하나요?","참여연구자가 원 소속기관(A기관)의 자체규정에 따라 겸직승인을 득하여 B기관과 또다른 근로계약을 체결하여 소속이 2곳이 된 경우, A기관과 B기관에서는 각각 인건비계상률을 관리하고 소명하면 됩니다.",
"현금으로 계상된 인건비의 경우, 월 급여를 참여연구원에게 계좌이체 해야하는 건가요? 회사계좌로 입금 후 개인별 계좌로 지급해도 되나요?","각 참여연구자에게 지급하는 인건비는 각 참여연구자에게 월별 지급하는 것이 원칙입니다. 다만, 해당 인건비를 회사급여계좌로 이체한 후 급여계좌에서 각 참여연구원에게 지급하는 방법도 가능합니다.",
"과제가 12월에 종료될 경우, 12월 인건비는 차년도 1월에 집행해도 되나요?","네 가능합니다. 마지막달 인건비의 경우 차년도 1월에 집행가능합니다. 이 외에도 보고서 발간 및 평가관련비용, 정산 수수료 비용, 공공요금 및 제세공과금, 연구수당은 과제 종료 이후(사용실적 보고 전까지) 사용 가능합니다.",
"영리기관이 인건비를 현금으로 계상하는 것이 가능한가요? 가능하다면, 계상 가능한 기간은 어떻게 되나요?","원칙적으로 영리기관은 인건비 현금 계상 불가합니다. 다만, 예외적으로 아래의 가능 사유에 해당되는 경우에 한하여 계상 가능합니다. 
1. 중소?중견기업인 연구개발기관이 신규로 채용하는 참여연구자(채용일부터 연구개발과제 공고일까지의 기간이 6개월 이내인 연구자를 포함) 
2. 전문연구사업자로 신고한 연구개발기관에 소속되어 해당 연구개발과제에 참여하는 참여연구자(대기업인 연구개발기관은 제외)
3. 그 밖에 중앙행정기관의 장이 인건비의 현금 계상이 필요하다고 인정하는 참여연구자*
* 농림축산식품 연구개발사업 관리기준에서는 지식서비스 분야의 개발내용을 포함한 과제를 수행하는 중소기업 소속 연구원의 인건비를 현금으로 계상하고 사용할 수 있도록 하며, 해당 참여연구자에 대한 인건비는 해당 연구개발과제의 종료시점까지 현금계상 가능합니다.",
참여연구자가 출산전후휴가 중입니다. 연구개발비로 인건비 지급이 가능한가요?,출산전후휴가 기간 동안의 급여 중 관계 법령 또는 자체규정에 따라 연구개발기관이 지급할 의무가 있는 급여(「고용보험법」 등에 따라 정부에서 지원받을 수 있는 금액은 제외)는 인건비로 사용가능합니다.,
영리기관은 연구근접지원인력인건비 계상이 가능한가요?,연구근접지원인력인건비는 비영리기관의 연구부서에 소속되어 해당 연구개발과제 수행을 지원하는 연구근접지원인력에게 지급하는 인건비로서 영리기관은 계상 및 사용이 불가합니다.,
휴학생이 연구참여자로 과제에 참여할 경우 학생인건비로의 집행이 가능한가요 아니면 내부인건비로 집행해야 하나요?,「국가연구개발사업 연구개발비 사용기준」제 2조에 따라 휴학생은 학생인건비로 집행이 가능합니다.,
졸업예정자가 졸업하는 월의 연구참여기간과 학생인건비 계상률은 어떻게 정해야 하나요?,"졸업일 이후에는 학생 신분의 연구자가 아니므로 「국가연구 개발사업 연구개발비 사용 기준」 별지 제1호 ‘학생연구자 연구참여확약서’ 작성 시 연구참여기간은 졸업일까지로 작성 필요 합니다. 다만, 졸업월의 말일이 아닌 일자에 졸업하더라도 해당 월 학생인건비계상률 100%로 계상하여 졸업월 말일까지의 연구 참여에 대한 학생인건비를 지급할 수 있으며 졸업 월의 학생인건비를 졸업일 기준으로 일할 계산하여 조정할 필요 없습니다.",
학위과정별 학생인건비 계상기준은 어떻게 되는지요?,"연구개발기관의 장은 학위과정별 학생인건비 (4대보험의 기관부담금 및 퇴직급여충당금 제외) 계상기준을 아래 기준금액 이상으로 정하여야 합니다. 이 경우 학과, 연구부서, 연구책임자 등에 따라 별도의 기준을 두어서는 아니 됩니다.
1. 학사과정 : 월 1,300,000원(전문학사과정을 포함)
2. 석사과정 : 월 2,200,000원
3. 박사과정 : 월 3,000,000원 이 적용되며 이 금액에는 4대보험 기관부담금 과 퇴직급여충당금이 포함된 것으로 간주하여 별도로 추가로 적립하거나 계상하면 안됩니다.
4. 통합과정의 경우 상기 기준을 고려하여 연구개발기관의 장이 별도로 정함에 따릅니다.",
학생연구자가 학생인건비계상률 0%로 국가연구개발사업 연구에 참여 가능한지?,"학생연구자는 인건비 또는 학생인건비를 계상하여 국가연구개발사업에 참여하는 것이 원칙입니다. 다만, 국가연구개발사업에서 받는 인건비가 총인건비계상률 100%(소속 대학 계상기준 100%)에 달하면 추가 연구 참여시 학생인건비계상률 0%로 연구 참여 가능합니다.",
근로소득이 있는 학생연구자에게 학생인건비 지급 가능 하나요?,「국가연구개발사업 연구개발비 사용 기준」 제40조제3항 소속 학생연구자의 기타 근로소득 및 사업소득은 총인건비 계상율 산정시 포함하여서는 안됩니다. 따라서 근로소득이 있는 학생연구원에게 학생인건비 지급 가능합니다.,
박사 후 연구원은 학생인건비의 지급 대상이 아닌지?,"학생연구자는 ‘전문학사?학사?석사?박사 및 통합학위과정 중에 있는 학생 신분의 연구자’와 ‘학위과정을 졸업하고 다음 학위과정에 진학이 확정된 자’를 말합니다. 박사후연구원은 위 정의에 부합하지 않으므로 학생연구자가 아니며, 급여 성격의 비용을 계상할 필요가 있는 경우 학생인건비가 아닌 인건비로 계상하여야 합니다.",
"학생인건비 통합관리기관이 아닌 경우, ‘연구참여확약서’가 필요한가요?","네. 연구참여확약서는 제출되어야 할 서류이며, 기존에는 양자간 협약(학생연구자↔연구책임자)에서 현재는 ‘3자간 협약’(학생연구자↔연구책임자↔기관장)변경되었습니다.",
‘학생연구자 연구참여확약서‘ 서식이 별도 있나요? 학생별 계약을 월별 체결해야 하나요?,"‘국가연구개발혁신법 매뉴얼’ 내 ‘학생연구자 연구참여확약서’ 서식이 있으니 참고하여 주시기 바랍니다. 또한, 계약체결 단위는 월별이 아닌 학기 또는 학년단위로 계약을 체결해 주시면 됩니다.",
"「국가연구개발사업 연구개발비 사용 기준」 제2조 제14호에 따르면 ‘연구생으로 등록한 수료생’도 학생연구자에 해당합니다. 다만, 별도의 연구생 제도를 마련하고 있지 않은 학교는 각 학교의 자체 인정 기준(수료 후 등록생, 수료 후 논문지도 과정으로 학기 등록한 과정생 등)에 따라 연구생으로 보고 학생인건비 지급이 가능한지요?","네, 지급가능합니다. 「고등교육법 시행령」 제50조에 따른 수료등록제 또는 이에 유사한 제도로 학적 확인이 가능한 경우 학생연구자로 볼 수 있으며 학생연구자로서 연구 참여 및 학생인건비 지급이 가능합니다.",
학사-석사-박사과정 사이의 공백 기간 중에 학생인건비를 지급할 수 있는지요?,"학사에서 석사, 석사에서 박사 사이 졸업일과 입학일 사이의 공백 기간 중 학생인건비 지급은 현행 학위과정을 졸업하여 상위 학위 과정 진학이 확정된 학생연구자가 상위 학위과정의 첫 학기 시작 전에 수행한 연구개발과제를 계속해서 수행할 경우 가능합니다.",
"대학·정부출연기관에서 타 기관 학생연구자의 학생인건비 계상이 가능한지요? 가능하다면, 유의할 점은 무엇인지요?","각 연구개발기관에서 학생연구자에게 지급하는 학생인건비 금액은 각 기관 학생인건비 계상기준을 초과할 수 없고, 학생연구자가 수급하는 학생인건비 총액은 원 소속 대학 계상기준을 초과할 수 없습니다(휴학생은 휴학한 대학을 원 소속 기관으로 봄). 또한 대학의 경우 타 대학 학생연구자에게는 학생인건비통합관리제도 시행 여부와 관계없이 과제의 인건비 또는 학생인건비를 계상하여 지급하여야 합니다. 이 때, 학생인건비를 지급하려는 기관에서는 지급하려는 금액과 인건비계상률?학생인건비계상률?학생인건비지급률을 고시 제39조제10항 및 제40조제6항에 따라 해당 학생연구자의 소속 대학에 공문 등으로 통보하여 소속 대학에서 해당 학생연구자의 월별 총인건비 계상률을 관리할 수 있도록 하여야 합니다.",
"연구수당을 계획대로 집행을 했음에도 불구하고, 직접비의 집행비율이 감소한 경우 연구수당도 불인정 처분되는 것인지요?","연구개발비 연구개발비 사용기준에 의하면 연구수당은 예산대비 증액은 불가하며, 연구수당 집행비율이 직접비 집행비율을 20%P이상 초과한 경우 다음 산식에 따라 계산된 금액이 회수됩니다. 연구수당은 100% 집행하였으나, 직접비 집행비율은 70%일 경우 직접비 집행률과 20%P를 초과한 10%P만큼 연구수당 불인정합니다.
[연구수당지급액 * (연구수당 집행비율 - 직접비 집행비율 -20/100)]",
연구수당을 지급할 수 있는 최대금액은 얼마인지요?,"1. 연구개발과제에서 계상할 수 있는 연구수당(최대액)은 해당 과제의 수정인건비의 20%를 넘을 수 없습니다. 
2. 연구수당 계상금액 대비 실제로 사용하고 지급하는 비율은 ‘직접비사용비율+20%’를 초과할 수 없습니다.(직접비사용비율이 80% 이상인 경우에 연구수당을 100% 지급 가능)
3. 참여연구자가 복수인 경우, 1명이 받을 수 있는 연구수당의 최대금액은 ‘연구수당 실제 계상액’의 70%까지입니다.",
연구수당의 지급이 불인정 되는 경우는 어떤 게 있나요?,"1. 협약시 산정한 연구수당(연구개발과제가 단계로 구분된 경우에는 해당 단계별 계상한도를 말함)을 초과하여 사용한 금액(전문기관의 승인을 받은 경우는 예외)
2. 연구개발비의 정산 결과에 따라 수정인건비가 원래계획보다 감액(원래계획보다 적게 사용한 경우를 포함)된 경우에 감액된 수정인건비의 20퍼센트를 초과한 금액
3. 참여연구자가 2명 이상인 경우에 한 명의 참여연구자에게 해당 연구개발과제의 연구수당 계상액의 70퍼센트를 초과하여 지급한 연구수당
4. 연구수당으로 계상한 금액 대비 지급한 금액의 비율(연구수당지급비율)이 직접비로 계상한 금액(현물로 계상한 금액은 제외) 대비 사용한 금액의 비율(직접비사용비율)을 20퍼센트포인트 초과한 경우",
연구수당의 산정기초에 인건비(현물 및 학생인건비 포함)에 대한 해석에 있어 “미지급 인건비”를 포함하는지요?,「국가연구개발사업 연구개발비 사용 기준」에서 미지급인건비 계상을 제한하지 않으므로 연구수당 계상 시 미지급 인건비를 포함 가능합니다.,
인건비가 협약 체결 당시 연구개발계획서와 다르게 변경되는 경우 연구수당도 수정이 되어야 하나요?,수정인건비가 원래계획과 다르게 변경된 경우 변경된 수정인건비의 20% 범위 내에서 연구수당을 변경하여 계상을 하여야 합니다. 이 경우 연구수당을 연구개발과제(단계로 구분된 경우 해당 단계를 의미)가 시작되는 시점에 계상한 금액보다 증액하여 계상하여서는 안됩니다. 실집행인건비(정산 결과에 따른 수정인건비)의 20%를 초과하여 연구수당을 집행한 경우는 불인정됩니다.,
"연구수당은 어느경우에도 원래계획보다 증액이 불가한지요? 또한, 증액이 가능하다면 연구개발비 전체 금액은 변동이 없으나 세목 전용으로 인하여 인건비 세목이 증가해도 연구수당이 증액 가능한지요?","다음 각 호의 어느 하나에 해당하는 사유가 있는 경우 중앙행정기관의 장의 사전 승인을 득한 후 연구수당 증액이 가능합니다.
1. 연구개발과제의 연구개발비 총액(단계로 구분되는 경우 단계의 총액을 의미)이 증액되는 경우
2. 법 제11조제2항에 따라 연구개발기관이 추가, 변경되는 경우",
연구수당 지급시 기여도 평가는 연구기간 종료 현재 참여하고 있는 연구원만을 대상으로( 중도 퇴직자 발생 시) 기여도 평가를 하면 되는지요?,연구개발기관의 장은 참여연구자 전부를 대상으로 기여도 평가등의 연구수당 지급에 관한 합리적인 기준을 마련하여야 하며 기 기준에 따라 연구수당을 지급하여야 하므로 참여했던 모든 연구원을 대상으로 기여도 평가를 하여야 합니다.,
연구수당 잔액을 다음 단계로 이월하여 사용할 수 있나요?,연구수당 사용 잔액은 다음 단계로 이월할 수 없습니다.,
협약을 변경하는 경우에도 연구개발과제가 시작되는 시점(연구개발과제가 단계로 구분된 경우에는 해당 단계의 시작 시점을 말함)에 계상한 연구수당 금액보다 증액할 수 없는 것인지요?,"연구수당의 과도한 증액을 막기 위하여 연구수당을 단계 시작 시점 당시 계상한 금액보다 증액하여 계상할 수 없도록 규정하고 있습니다. 다만, 연구개발과제의 연구개발비 총액(연구개발과제가 단계로 구분된 경우에는 해당 단계를 말함)이 증액되거나, 구개발기관이 추가ㆍ변경되는 경우에는 중앙행정기관의 장의 사전 승인(협약 변경)으로 연구수당의 증액이 가능합니다. 
* 하나의 연구개발과제에서 주관, 공동, 위탁연구개발기관 간 협약변경을 통한 연구개발비 조정으로 연구개발기관의 연구개발비 총액이 증액되는 경우 포함",
"참여연구자가 2인 이상이었으나, 연구개발기간 중 중도 퇴직 등이 발생한 경우 연구수당 지급은 어떻게 해야하는지?",전체 연구개발기간(단계가 구분되어 있는 경우 단계 연구개발기간을 말함)중 1차년도에 연구참여자가 중도 퇴직하여 2차년도부터 1인이 연구를 수행하는 경우에도 전체 연구개발기간 기준으로 1인에게 연구수당 70%이상을 지급할 수 없습니다. 참여연구자가 2명 이상인 경우에 한 명의 참여연구자에게 해당 연구개발과제의 연구수당 계상액의 70퍼센트를 초과하여 지급한 연구수당은 불인정됩니다.,
연구수당 지급을 위하여 참여연구자에 대한 기여도 평가를 실시한 후 평가결과를 고려하여 일부 참여연구자에게만 연구수당을 지급 가능한지요?,"지급 가능하나, 연구수당은 참여연구자가 2명 이상인 경우에 한 명의 참여연구자에게 해당 연구개발과제의 연구수당 계상액의 70퍼센트를 초과하여 연구수당을 지급하여서는 안됩니다.",
연구시설·장비비와 재료비는 언제까지 집행이 가능한가요?,"연구시설·장비비의 경우 최종(단계)종료 2개월까지 가능하며, 재료비의 경우는 최종(단계)종료 전까지 사용 가능합니다.",
원래 연구개발계획서상에 반영되지 않은 내부보유 연구시설 임차료를 사용할 수 있나요?,원래 연구개발계획서 상에 반영되지 않았더라도 중앙행정기관의 장이 인정한 임차료는 사용가능하므로 정산 시 전문기관의 승인문서를 제출해주시기 바랍니다.,
단계종료일이 6개월전 연구장비를 주문하였으나 코로나 등으로 인한 배송지연으로 단계종료 1개월전 입고 및 검수완료된 경우 연구비로 인정이 가능한가요?,"재난,재해,그밖에 경제적?사회적으로 중대한 사유가 발생한 경우 중앙행정기관의 장이 인정한 경우 연구개발과제 종료일 1개월 전 구입 가능한 것이며 중앙행정기관의 인정없이 연구개발기관 자체적으로 구입한 후 사후 소명하는 경우는 인정되기 어렵습니다.",
협약 당시 부담하기로 한 연구개발비 현물 부담총액에 대하여 연구개발과제가 시작된 후 구입한 연구시설ㆍ장비도 현물로 부담할 수 있나요?,"연구개발비 사용기준 66조 (영리기관 연구시설ㆍ장비비 사용기준) 1항에 의거 연구개발기관이 연구개발과제가 시작되기 전부터 소유ㆍ임차ㆍ사용대차하고 있는 연구시설ㆍ장비뿐 아니라 연구개발과제가 시작된 후 구입ㆍ임차ㆍ사용대차하고 있는 연구시설ㆍ장비에 대하여도 연구시설ㆍ장비 구입ㆍ설치비를 구입가의 20퍼센트 내에서 현물로 계상할 수 있도록 하고 있습니다. 이 경우 연구시설ㆍ장비 구입 완료일이 연구개발과제 시작일의 5년 이내이어야 하고, 영리기관의 자체규정에 따라 계상된 내용연수 만료일이 현물로 계상한 연도의 말일 이후이어야 합니다.",
대학 내 실험벤치 사용료를 연구개발 계획서상에 별도로 계상하지 않은 경우 사용이 불가능한가요?,「국가연구개발사업 연구개발비 사용 기준」제 21조 4항 제5호 나목에 따라 ‘비영리기관이 공동활용을 위하여 구축한 연구시설ㆍ장비를 사용하는데 필요한 비용’은 사용할 수 있습니다.,
"연구시설·장비 구축을 위한 심의를 거쳐야 하는 경우 또는 연구시설·장비비 변경이 필요한 경우, 연구시설·장비비가 3천만원 이상인지 여부를 판단하는 대상 기간은?","연구개발기관은 혁신법 시행규칙 [별지1호] 연구개발계획서에 전체 연구개발기간 동안의 연구시설·장비 구축·운영계획을 작성하도록 되어 있습니다. 따라서 전체 연구개발기간 동안의 총 구축비용이 3천만원 이상 소요되는 연구시설·장비 구입, 임차비용으로 적용하여야 합니다.",
"구매 또는 임차하고자 하는 연구시설·장비의 개별 단가금액은 3천만원 미만이나, 동일한 연구시설·장비를 여러대 구매 또는 임차하여 3천만 원 이상일 경우 심의대상에 해당하는지?","연구개발기간 동안 동일한 연구시설·장비를 단순히 여러 대 구매, 임차하는 것으로 확인된 경우 연구시설·장비의 개별단가가 3천만원 미만이면 심의대상에서 제외되나, 그렇지 않은 경우(여러 대의 동일 장비가 시스템으로 구성되어 하나의 장비처럼 운영되는 경우 등)에는 동일 장비 여러 대의 연구개발기간 내 총액이 3천만원 이상일 경우 심의대상에 포함됩니다.",
재료비 구입의 경우 과제 직전 구입까지 인정된다고 하셨는데 과제 종료 직전 구입한 경우 따로 소명자료를 회계법인에 제출할 필요가 없는지요?,"종전에는 과제종료(연차) 전까지, 일부부처는 과제종료 2개월 전까지 구매했으나, 국가연구개발 혁신법에서는 최종(단계) 종료 전까지 구매 가능합니다. 다만, 해당 연구과제에 필요한 적정 수량으로 구입하시는 것을 권고드리며, 재고 보유 재료비는 인정되지 않으므로 연구기간 종료 임박해서 과다하게 구입한 재료의 경우 구입 재료의 사용내역을 확인 할 수 있습니다. 확인 방법은 기관별로 다르며 일반적으로 재고 수불 내용 등을 확인 합니다.",
시험설비를 자체제작 할 경우 참여연구자 이외의 인력에 대한 노무비를 계상할 수 있는지?,2022년 12월21일자로 국가연구개발사업 연구개발비 사용기준의 개정으로 시험제품?시험설비를 자체제작 할 경우 참여연구자 이외의 인력에 대한 노무비는 계상 불가합니다. 이는 연구개발비 사용 기준의 인건비 사용 기준과 배치되는 내용으로 해당 기준은 삭제 되었습니다.,
연구비 집행예정인 금액 중에 연구재료비(실험동물센터사용비)가 있습니다. 해당 내역은 3개월에 한번씩 청구되어 집행되어져왔습니다. 혁신법 시행으로 연구비 정산이 단계별로 진행됨에 따라 동일 단계내에서 2년차 집행 내역에 1년차 에 대한 비용이 포함되어 집행이 되어도 문제없을지요?,「국가연구개발혁신법 시행령」 제26조(연구개발비의 정산 등)에 따라 연구개발비는 단계별로 정산이 이루어지므로 말씀하신 단계 내 1년차 기간 중 사용이 된 부분에 대해서 2년차에 집행하여도 연구비 정산 측면에서는 문제는 없습니다.,
"혁신법 매뉴얼 명시된 모든 증빙자료 항목( 예, 구매의뢰서, 검수확인서)을 필수로 제출하여햐 하는지요?","연구개발과제 수행을 위해 필요한 물품은 연구개발계획서에 명시되어 있지 않더라도 해당 연구개발기관의 구매 및 검수 관련 규정에 따라 구매가 가능합니다. 다만, 해당 물품이 과제에 직접적인 관련성을 확인 할 수 있는 연구책임자 발의의 구매의뢰서와 해당 의뢰 사항과 동일한 물품의 구입이 확인될 수 있는 검수확인서 등은 구비하셔야 합니다.",
"연구재료비 구매 시, 자회사 재료를 구매할 수 있을까요?","불가능합니다.「국가연구개발사업 연구개발비 사용기준」에 따라 계열사 등으로 법인이 분리되어 있으나, 인적·물적 구분이 명확하기 아니한 계약사 또는 기관간 발생하는 비용은 인정되지 않습니다. 또한, 연구개발과제를 함께 수행하는 연구개발기관 간 발생하는 비용도 인정되지 않습니다.",
과제 종료 직전(1~2개월 이내)에 기자재 임차 또는 연구재료를 구입해도 되나요?,"연구재료비는 연구개발과제(연구개발과제가 단계로 구분된 경우에는 해당 단계를 말함)의 종료일까지 구매(검수완료)할 수 있습니다. 다만, 과제 종료일에 임박하여 연구비를 집행하는 것은 연구비 소진 성격으로 과제와 직접 관련없는 연구비로 볼 수 있기 때문에 권장하지 않습니다. 재료비의 경우에는 제한이 없으나, 연구시설·장비는 연구개발과제(연구개발과제가 단계로 구분된 경우에는 해당 단계를 말함) 종료일 2개월 전까지 구입완료분에 한하여 인정함이 원칙이오니 유의하시기 바랍니다.",
연구를 진행함에 있어 필요한 재료를 공동연구개발기업으로부터 구입하려고 하는데 가능한가요?,"공동연구개발기업이 생산·판매하고 있거나 생산·연구 활동을 위하여 투입 및 보유하고 있는 시약 및 재료의 사용경비는 제조 또는 구입원가 내에서 현물로 계상하실 수 있습니다. 다만, 단독 판매처 등의 정당한 사유로 중앙행정기관의 장이 인정하는 경우 해당 금액을 현금으로 계상/사용가능합니다.",
연구비 카드 외 법인카드 사용이 가능한가요?,"연구비 사용은 연구비카드 혹은 계좌이체가 원칙입니다. 다만, 연구비 지급이 지연되거나 연구비카드 발급이 지연되는 경우 법인카드 사용이 가능합니다. 법인카드 사용 후, 이지바로시스템을 통해 차후 기관으로 해당금액을 이체 처리해 주시면 됩니다.",
"연구실운영비 중 컴퓨터, 프린터, 복사기 등의 사무용기기나 컴퓨터 구동 프로그램, 소프트웨어 관련 기기 구매가 가능한가요?","연구실 운영에 필요한 소모성 비용은 계상할 수 없습니다. 다만, 해당비용의 경우 협약 체결 당시 ‘연구개발비 사용기준 별지 제3호 서식’에 따라 영리기관의 연구실운영비 활용·관리 계획이 작성되어 연구개발계획서에 첨부된 경우에만 계상이 가능합니다.",
출장비나 야근식대 집행 시 상한선이 있나요?,"수행기관 자체 내부기준에 따라 지급하시면 됩니다. 다만, 사회통념의 범위를 벗어난 규정을 별도로 만들어 과다하게 일비 및 식비를 지급할 경우, 과제수행을 위해 별도의 기준을 두어서 지급할 경우 차후 부당집행으로 인정이 안 될 수 있습니다.",
특허등록이나 출원비용은 연구활동비에서 집행이 가능한가요?,지식재산권의 출원·등록 및 유지 관련 비용은 간접비로 사용이 가능합니다. 연구활동비 내 ‘지식재산창출활동비’는 연구개발과제 수행 초기단계에서 지식재산권 창출을 위해 필요한 비용을 말하며 특허 창출활동에 필요한 기술 및 동향특허 분석 등을 말합니다.,
한 개 부서에서 2개의 연구비카드로 다른 곳 동일 시간대에도 회의비 결제가 가능한가요?,"동일한 회의로 한 개의 부서에서 동시에 여러 장소에서 집행하는 것은 문제가 될 수 있습니다. 다만, 연구목적에 부합되는 별개의 회의개최이고 회의록 등 적절한 절차에 의해서 집행된 건이라면 집행이 가능합니다.",
연구기간 종료 이후 학회 연회비 집행가능한가요?,"일부가능합니다. 연구개발과제와 관련된 학회의 경우 연회비(1년) 대상 기간이 연구개발기간을 포함한 전 · 후 기간에 대해서도 연회비를 인정함(다만, 연구비 사용일은 연구개발기간 내에 포함되어야 함)",
학생연구원이 학회발표 조건으로 가입 및 학회등록을 하고자 할 때 학술대회 등록과 동시에 입회비와 연회비를 사용할 수 있나요?,"사용할 수 있습니다. 학생연구원이 참여연구원이고, 학회가 수행연구과제와 직접적인 관련이 있다면 연구목적 달성에 필요해 연구기간 내에서 학회 가입비, 연회비, 등록비 사용이 가능합니다.",
소프트웨어 사용계약이 연구개발기간을 초과하는데 사용 가능한가요?,가능합니다. 소프트웨어 사용계약기간이 최소단위임을 소명하는 경우에는 소프트웨어활용비를 해당 사용계약기간에 대한 계약금액 전부로 계상할 수 있습니다.,
실험도구 수리비가 연구재료비에서 집행가능하나요?,"우선 실험도구가 장비인지 사무용 기기인지 확인해야 합니다. 장비에 대한 수리비라면 연구시설 ·장비비이며, 장비가 아닌 사무용 기기에 대한 수리라면 연구활동비(연구실운영비)로 사용할 수 있습니다. 국가연구개발사업 연구개발비 사용 기준 제25조(연구활동비 공통 사용기준)⑩항에 따르면 연구개발기관의 장은 연구실운영비를 사용할 때에 연구개발기관 자체규정에 따라 사용하여야 하므로 자체규정을 확인해야 합니다.",
논문투고와 관련할 때 논문에 사용한 그림에 대한 저작권료가 발생할 때 연구개발비로 지출이 가능할까요?,정부연구개발비(직접비)는 수행연구과제와 관련이 있고 연구목적 달성에 필요한 경우 사용가능합니다.,
영리기관의 경우 연구활동비 중 연구실운영비 사용이 가능한지요?,"연구실운영비 중 연구실 운영에 필요한 소모성 비용은 사용할 수 없으며, 사무용 기기(컴퓨터, 프린터, 복사기 등 사무용기기 및 주변기기 포함) 및 사무용 소프트웨어(컴퓨터 구동 프로그램, 사무처리용 소프트웨어, 바이러스 백신 등)에 소요되는 비용, 연구실 냉난방 및 청결한 환경 유지비용은 연구개발과제의 협약 체결 당시 영리기관의 연구실운영비 활용·관리 계획(연구개발비 사용기준 별지 제4호 서식)에 따라 작성하여 연구개발계획서에 첨부한 경우 사용할 수 있습니다.",
"중앙행정기관이 인정하는 경우 직접비의 40%를 초과하여 외부 전문기술 활용비의 사용이 허용되는데, “인정”의 방법은 무엇인지요?","1. 중앙행정기관 소관 법령 또는 행정규칙에 규정하는 방법
2. 연구개발과제 공고 시 명시하는 방법
3. 중앙행정기관과 연구개발기관 간 문서로 협의·통보하는 방법
4. 중앙행정기관이 정산 시 해당 연구비 사용을 인정하는 방법
5. 그 밖에 중앙행정기관이 인정함을 연구개발기관이 인지할 수 있도록 하는 방법",
해외 연구자 유치 지원비 가능한 비용들은 무엇인지요?,"해외 연구자 유치 지원비란 외국에 소재한 정부ㆍ기관ㆍ단체에 소속된 연구자 등 연구개발과제 관련 전문성을 갖춘 연구자에게 지급하는 장려금, 체재비 등 해외 연구자의 국내 유치에 필요한 비용을 말합니다. 연구개발기관의 장은 다음의 요건을 모두 갖추어 중앙행정기관 장의 인정을 받은 경우에만 해외연구자 유치 지원비를 계상할 수 있습니다.
1. 지원 대상자가 전체 연구개발과제(연구개발과제가 단계로 구분된 경우에는 해당 단계를 말함)기간 중 6개월 이상 국내에 거주하며 연구개발과제에 참여
2. 지원 대상자가 해당 연구개발과제의 참여연구자 또는 연구개발기관의 장과 6촌 이내의 혈족 또는 4촌 이내의 인척 관계에 있지 아니하여야 함
3. 연구개발기관의 자체규정에 따라 해외연구자 유치를 위한 절차가 진행되어야 함",
야근식대를 집행하려고 합니다. 국가연구개발혁신법에서 야근식대에 대해 인당비용 한도금액이 정해져 있는지요?,"「국가연구개발사업 연구개발비 사용 기준」에는 야근식대에 대하여는 수행기관의 내부규정에 따르도록 하고 있으며, 별도로 사용기준에서 한도를 정하고 있지는 않습니다.",
